<MB file size>	<8 MB stride latency>	<4 MB stride latency>	<1 MB stride latency>	<24 KB stride latency>	<12 KB stride latency>
1000	3904	5243	5188	4791	4612
1100	4495	5255	37373	4772	4454
1200	4118	5230	5179	4727	4631
1300	4638	5262	5185	4725	4590
1400	4483	5270	5223	4788	4580
1500	4860	5196	5102	4805	4611
1600	4528	5400	5206	4760	4647
1700	4877	5336	5225	4797	4698
1800	4553	5229	5220	4765	4765
1900	1041492	790396	623815	165696	111397
2000	213452	2545424	1466049	387687	224055
2100	4678652	4824228	5126698	767024	402453
